alpha_mmd_loss,angular_mmd_loss,dmet_loss,epoch,grad_cos/alpha_mmd__rest,grad_cos/alpha_mmd__total,grad_cos/angular_mmd__rest,grad_cos/angular_mmd__total,grad_cos/dmet__rest,grad_cos/dmet__total,grad_cos/higgs_mass__rest,grad_cos/higgs_mass__total,grad_cos/huber__rest,grad_cos/huber__total,grad_cos/mass_mmd__rest,grad_cos/mass_mmd__total,grad_cos/w_mass_huber__rest,grad_cos/w_mass_huber__total,higgs_mass_loss,huber_loss,loss,loss_weight/alpha_mmd,loss_weight/angular_mmd,loss_weight/dmet,loss_weight/higgs_mass,loss_weight/huber,loss_weight/mass_mmd,loss_weight/w_mass_huber,mass_mmd_loss,step,test_alpha_mmd_loss,test_angular_mmd_loss,test_dmet_loss,test_higgs_mass_loss,test_huber_loss,test_loss,test_mass_mmd_loss,test_w_mass_huber_loss,val_alpha_mmd_loss,val_angular_mmd_loss,val_dmet_loss,val_higgs_mass_loss,val_huber_loss,val_loss,val_mass_mmd_loss,val_w_mass_huber_loss,w_mass_huber_loss
,,,13,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,35475,,,,,,,,,,,,,,,,,
,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,35475,,,,,,,,,0.020721476525068283,0.0026801605708897114,0.3269416093826294,0.16198791563510895,0.13775663077831268,28.41501235961914,0.034808557480573654,0.0669667050242424,
0.025431601330637932,0.0025670945178717375,0.32793158292770386,13,-0.24922601878643036,-0.243464857339859,0.1312917321920395,0.24968141317367554,-0.42431116104125977,-0.4224035441875458,0.06575608998537064,0.9919617176055908,-0.18237081170082092,-0.13948282599449158,0.4384903609752655,0.4427633285522461,0.1613801270723343,0.16306355595588684,0.19842660427093506,0.13811472058296204,30.107973098754883,,,,,,,,0.036372944712638855,35475,,,,,,,,,,,,,,,,,0.06553538143634796
,,,14,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,38009,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,38009,,,,,,,,,0.023691512644290924,0.002638405654579401,0.3294725716114044,0.15678220987319946,0.13670408725738525,28.006078720092773,0.03572745621204376,0.06567502021789551,
0.025055278092622757,0.0025649394374340773,0.32749316096305847,14,-0.4211493730545044,-0.4078272581100464,0.6053533554077148,0.7062562108039856,0.12071854621171951,0.12343908846378326,0.49846339225769043,0.990031361579895,-0.2860702574253082,-0.21931079030036926,0.3303161561489105,0.3385636508464813,0.15491709113121033,0.1572985053062439,0.1950361579656601,0.1375921368598938,29.881229400634766,,,,,,,,0.036735016852617264,38009,,,,,,,,,,,,,,,,,0.06556909531354904
,,,15,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,40543,,,,,,,,,,,,,,,,,
,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,40543,,,,,,,,,0.021432315930724144,0.0026382652577012777,0.32490143179893494,0.16410553455352783,0.1362275928258896,28.27409553527832,0.033347237855196,0.06718750298023224,
0.024271918460726738,0.002562121953815222,0.3265599012374878,15,0.11138966679573059,0.12398254871368408,-0.37549862265586853,-0.2525881826877594,0.014896828681230545,0.017821162939071655,-0.2683796286582947,0.9924403429031372,0.1601388305425644,0.21699869632720947,0.1611437350511551,0.1677047163248062,0.3936436176300049,0.3953874707221985,0.18958906829357147,0.13707908987998962,29.535520553588867,,,,,,,,0.036078017204999924,40543,,,,,,,,,,,,,,,,,0.06526453047990799
,,,16,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,43077,,,,,,,,,,,,,,,,,
